,Unique Probes,Total Entries,Match
1_CHIA_COMP_EGFR_+,10520,10520,True
1_RAF1_+,9697,9697,True
2_RAF1_+,9723,9723,True
3_RAF1_+,9707,9707,True
4_RAF1_+,9705,9705,True
5_RAF1_+,9639,9639,True
6_RAF1_+,9617,9617,True
1_CYLD_-,10353,10353,True
1_CASC15_-,10270,10270,True
1_WAS_+,10767,19281,False
2_WAS_+,9073,9073,True
1_LAT_TES_+,10766,20103,False
1_FMR1_+,10416,10416,True
1_PROC_+,10921,74842,False
2_PROC_+,10919,65133,False
1_LATS1_LATS2_+,10145,10145,True
1_FABP4_+,10610,10610,True
1_TAT_TDG_WAS_-,10849,40694,False
1_SDHB_-,10338,10338,True
1_ARC_INA_KIN_OGN_+,9008,9008,True
2_ARC_INA_KIN_OGN_+,8980,8980,True
1_SERPINF1_+,10265,10265,True
2_SERPINF1_+,10252,10252,True
3_SERPINF1_+,10338,10338,True
4_SERPINF1_+,10327,10327,True
1_ACR_TES_-,9937,9937,True
1_BAG3_-,10560,10560,True
1_NOTHING_+,10921,180596,False
1_CAT_+,10818,20563,False
1_TXNIP_+,10485,10485,True
2_TXNIP_+,10502,10502,True
1_LAT_NES_+,9993,9993,True
1_PRDM5_+,10274,10274,True
2_PRDM5_+,10262,10262,True
3_PRDM5_+,10221,10221,True
1_NTS_SET_TRO_WAS_-,9818,9818,True
2_NTS_SET_TRO_WAS_-,9788,9788,True
1_TMPRSS6_-,10261,10261,True
1_FER_MYC_REN_WAS_+,9136,9136,True
2_FER_MYC_REN_WAS_+,9119,9119,True
3_FER_MYC_REN_WAS_+,9132,9132,True
4_FER_MYC_REN_WAS_+,9141,9141,True
5_FER_MYC_REN_WAS_+,9111,9111,True
6_FER_MYC_REN_WAS_+,9116,9116,True
7_FER_MYC_REN_WAS_+,9119,9119,True
8_FER_MYC_REN_WAS_+,9110,9110,True
1_EGFR_+,10146,10146,True
2_EGFR_+,10133,10133,True
3_EGFR_+,10136,10136,True
1_NDRG1_+,9279,9279,True
1_PARVA_+,10344,10344,True
1_IMPACT_+,10921,120234,False
2_IMPACT_+,10921,89467,False
3_IMPACT_+,10921,60479,False
4_IMPACT_+,10921,50365,False
1_TES_+,10918,31246,False
2_TES_+,10865,20877,False
1_NR2F2_-,10501,10501,True
1_ATIC_+,10921,71158,False
2_ATIC_+,10906,30991,False
3_ATIC_+,9801,9801,True
1_ABO_FER_MET_REN_TOX_VIT_+,10259,10259,True
2_ABO_FER_MET_REN_TOX_VIT_+,10255,10255,True
1_IDE_MAL_-,10582,10582,True
1_GAST_TLR2_+,9292,9292,True
2_GAST_TLR2_+,9305,9305,True
3_GAST_TLR2_+,9336,9336,True
1_TFEB_+,10599,10599,True
1_GATA2_-,10516,10516,True
2_GATA2_-,10509,10509,True
3_GATA2_-,10438,10438,True
4_GATA2_-,10439,10439,True
5_GATA2_-,10518,10518,True
1_RACGAP1_-,10365,10365,True
1_BRE_TRO_WAS_+,10051,10051,True
2_BRE_TRO_WAS_+,10111,10111,True
1_ACR_NES_TRO_VIT_WAS_+,10708,10708,True
2_ACR_NES_TRO_VIT_WAS_+,10684,10684,True
1_CEP104_-,10544,20716,False
1_IDE_LAT_-,10365,10365,True
1_SFRP1_+,10608,10608,True
1_FLI1_+,10858,20912,False
2_FLI1_+,10853,20826,False
3_FLI1_+,10368,10368,True
1_ANG_MPO_POR_RAN_WAS_+,10273,10273,True
2_ANG_MPO_POR_RAN_WAS_+,10394,10394,True
3_ANG_MPO_POR_RAN_WAS_+,10292,10292,True
1_KEL_RAN_-,10427,10427,True
2_KEL_RAN_-,10426,10426,True
1_COMP_+,10921,112179,False
2_COMP_+,10921,61403,False
3_COMP_+,10920,41825,False
4_COMP_+,10910,31664,False
2_LAT_TES_+,10297,10297,True
3_LAT_TES_+,10320,10320,True
4_LAT_TES_+,10340,10340,True
1_EOMES_+,9606,9606,True
1_CD34_-,9432,9432,True
1_LAT_+,10920,40782,False
2_LAT_+,10916,40681,False
1_MYC_+,10920,82007,False
1_ARSE_CUTA_MARS_-,10215,10215,True
2_ARSE_CUTA_MARS_-,10192,10192,True
3_ARSE_CUTA_MARS_-,10270,10270,True
4_ARSE_CUTA_MARS_-,10287,10287,True
5_ARSE_CUTA_MARS_-,10274,10274,True
6_ARSE_CUTA_MARS_-,10099,10099,True
7_ARSE_CUTA_MARS_-,10069,10069,True
1_CTNNB1_+,9834,9834,True
2_CTNNB1_+,9907,9907,True
3_CTNNB1_+,10340,10340,True
4_CTNNB1_+,10337,10337,True
5_CTNNB1_+,10271,10271,True
6_CTNNB1_+,10108,10108,True
7_CTNNB1_+,10341,10341,True
1_EZR_-,10248,10248,True
1_ATM_NIN_NTS_-,8811,8811,True
1_SELM_+,5812,5812,True
2_SELM_+,4835,4835,True
1_ACHE_MALL_+,10212,10212,True
2_ACHE_MALL_+,10245,10245,True
3_ACHE_MALL_+,10224,10224,True
1_FOXP3_+,10172,10172,True
